,Area,Room,Parking,Warehouse,Elevator,Address,Price(USD),PriceGrade,AreaGrade,Price(meter²),Price(Neighborhood)
2177,95,2,True,True,True,Pasdaran,195000.0,Budget,Large,2052.6315789473683,309631.8181818182
208,75,2,True,True,True,East Ferdows Boulevard,78333.33,Budget,Medium,1044.4444,128490.54027027027
1625,74,2,True,True,True,Darband,136666.67,Budget,Medium,1846.846891891892,136666.67
129,44,1,True,True,False,Salsabil,35000.0,Budget,Small,795.4545454545455,46566.97266666666
3099,125,2,True,True,True,Gheitarieh,416666.67,Affordable,VeryLarge,3333.33336,357490.47642857145
1514,145,3,True,True,True,Gholhak,261666.67,Budget,VeryLarge,1804.5977241379312,226666.667
2460,47,1,True,True,False,Dolatabad,23166.67,Budget,Small,492.9078723404255,36416.67
1519,125,2,True,True,True,Gheitarieh,416666.67,Affordable,VeryLarge,3333.33336,357490.47642857145
2284,60,2,False,True,False,Jeyhoon,21666.67,Budget,Small,361.11116666666663,58270.00021978022
1006,175,3,True,True,True,Pasdaran,516666.67,Affordable,VeryLarge,2952.3809714285712,309631.8181818182
1350,300,4,True,True,True,Farmanieh,1233333.33,MidRange,Huge,4111.1111,697242.6898245614
1518,78,2,True,False,True,Jeyhoon,75000.0,Budget,Medium,961.5384615384615,58270.00021978022
1854,98,2,True,True,True,Pardis,25666.67,Budget,Large,261.9047959183673,25927.39732876712
3389,65,1,False,False,True,Saadat Abad,116333.33,Budget,Medium,1789.7435384615385,316291.9895348837
1287,194,3,True,True,True,Niavaran,661933.33,Economy,VeryLarge,3412.027474226804,663106.8627941177
2726,74,2,False,True,False,Pirouzi,53333.33,Budget,Medium,720.7206756756757,72499.99968253968
1640,150,3,True,True,True,Gheitarieh,366666.67,Affordable,VeryLarge,2444.4444666666664,357490.47642857145
2394,92,2,True,True,True,Punak,133333.33,Budget,Large,1449.2753260869563,124276.81161490682
1404,120,2,True,True,True,Saadat Abad,243333.33,Budget,Large,2027.77775,316291.9895348837
3236,110,2,True,True,True,Gheitarieh,288666.67,Budget,Large,2624.2424545454546,357490.47642857145
2584,96,2,False,False,False,Haft Tir,95000.0,Budget,Large,989.5833333333334,125833.335
666,109,2,True,True,True,Shahran,116666.67,Budget,Large,1070.3364220183487,99525.1286923077
2809,43,1,True,True,True,Tenant,40000.0,Budget,Small,930.2325581395348,62402.89956521739
1843,150,3,True,True,True,Punak,350000.0,Affordable,VeryLarge,2333.3333333333335,124276.81161490682
3299,85,2,True,True,True,Farmanieh,203333.33,Budget,Medium,2392.1568235294117,697242.6898245614
3050,97,2,True,False,True,Si Metri Ji,63333.33,Budget,Large,652.9209278350515,56175.36217391305
174,67,2,True,True,True,Central Janatabad,91666.67,Budget,Medium,1368.1592537313434,116287.03677777779
2817,100,2,True,True,True,Tajrish,190000.0,Budget,Large,1900.0,588333.3328571429
625,43,1,True,True,True,Shahran,69333.33,Budget,Small,1612.403023255814,99525.1286923077
707,86,2,True,True,True,Pardis,16666.67,Budget,Medium,193.798488372093,25927.39732876712
2670,63,1,True,True,True,Ray,37800.0,Budget,Medium,600.0,60218.51777777778
3360,52,1,True,True,True,Punak,78666.67,Budget,Small,1512.820576923077,124276.81161490682
431,66,1,True,False,True,Pirouzi,61666.67,Budget,Medium,934.3434848484849,72499.99968253968
1218,100,2,True,True,True,Pardis,16666.67,Budget,Large,166.6667,25927.39732876712
1491,60,1,False,True,False,Jeyhoon,34000.0,Budget,Small,566.6666666666666,58270.00021978022
827,55,1,True,True,True,East Ferdows Boulevard,66666.67,Budget,Small,1212.1212727272728,128490.54027027027
1379,110,2,True,True,True,Punak,216333.33,Budget,Large,1966.6666363636361,124276.81161490682
1822,105,2,True,True,False,Andisheh,33333.33,Budget,Large,317.4602857142857,62586.42602409639
3260,69,2,True,True,True,Jeyhoon,56666.67,Budget,Medium,821.2560869565217,58270.00021978022
1444,112,2,True,True,True,Pardis,16000.0,Budget,Large,142.85714285714286,25927.39732876712
1555,48,1,True,True,False,Salsabil,34933.33,Budget,Small,727.7777083333334,46566.97266666666
3115,171,2,False,True,False,Elahieh,383333.33,Affordable,VeryLarge,2241.7153801169593,892878.4305882353
1691,136,3,True,True,True,Southern Janatabad,206666.67,Budget,VeryLarge,1519.6078676470588,105948.38731182796
1879,80,2,True,True,True,Shahr-e-Ziba,85000.0,Budget,Medium,1062.5,103462.99724770641
1493,89,2,True,False,True,Andisheh,36666.67,Budget,Medium,411.98505617977526,62586.42602409639
2565,126,3,True,True,True,Zafar,255866.67,Budget,VeryLarge,2030.6878571428572,439146.66799999995
2934,110,3,True,True,True,Abazar,141666.67,Budget,Large,1287.8788181818184,286471.0139130435
107,137,3,True,True,True,ShahrAra,240000.0,Budget,VeryLarge,1751.8248175182482,201000.0
907,75,2,True,True,False,West Ferdows Boulevard,81666.67,Budget,Medium,1088.8889333333334,103524.82772413793
349,188,3,True,True,True,Ozgol,589066.67,Affordable,VeryLarge,3133.33335106383,256423.333
2807,100,2,True,True,True,Tenant,86666.67,Budget,Large,866.6667,62402.89956521739
2859,60,2,False,True,True,East Pars,46000.0,Budget,Small,766.6666666666666,73315.41625000001
1057,64,2,True,True,True,Southern Janatabad,70000.0,Budget,Medium,1093.75,105948.38731182796
2303,220,4,True,True,False,Shahryar,250000.0,Budget,Huge,1136.3636363636363,72356.41
3203,100,2,True,True,True,Shahran,140000.0,Budget,Large,1400.0,99525.1286923077
2418,75,2,True,True,True,Salsabil,75333.33,Budget,Medium,1004.4444,46566.97266666666
3093,115,2,True,False,True,Shahrake Qods,31666.67,Budget,Large,275.36234782608693,30030.72463768116
1208,112,3,True,True,False,Parand,46666.67,Budget,Large,416.6666964285714,17453.01874015748
3165,39,1,True,False,True,Ostad Moein,39000.0,Budget,Tiny,1000.0,64229.26865853659
1104,130,2,True,True,True,Shahran,139333.33,Budget,VeryLarge,1071.794846153846,99525.1286923077
1804,200,3,True,True,True,Saadat Abad,533333.33,Affordable,VeryLarge,2666.6666499999997,316291.9895348837
1521,195,3,True,True,True,Gheitarieh,633333.33,Economy,VeryLarge,3247.8632307692305,357490.47642857145
810,80,2,True,False,True,Qalandari,156666.67,Budget,Medium,1958.3333750000002,257606.0609090909
1278,76,2,True,True,True,Central Janatabad,138333.33,Budget,Medium,1820.175394736842,116287.03677777779
2866,56,2,True,True,True,East Pars,51666.67,Budget,Small,922.6191071428572,73315.41625000001
1897,101,2,True,True,True,North Program Organization,171666.67,Budget,Large,1699.67,247240.74074074073
3376,72,2,True,True,True,Abazar,111666.67,Budget,Medium,1550.9259722222223,286471.0139130435
3084,87,2,True,False,True,Parand,18333.33,Budget,Medium,210.72793103448276,17453.01874015748
2798,71,2,True,True,False,Salsabil,39500.0,Budget,Medium,556.3380281690141,46566.97266666666
2479,97,2,True,True,True,Punak,156666.67,Budget,Large,1615.1203092783508,124276.81161490682
1417,130,3,True,True,True,Saadat Abad,350000.0,Affordable,VeryLarge,2692.3076923076924,316291.9895348837
2426,60,1,False,True,True,Southern Suhrawardi,73666.67,Budget,Small,1227.7778333333333,148500.0
258,87,2,True,True,True,Pardis,20833.33,Budget,Medium,239.46356321839082,25927.39732876712
253,118,2,True,True,True,East Ferdows Boulevard,150000.0,Budget,Large,1271.1864406779662,128490.54027027027
1259,60,1,True,True,True,Yousef Abad,108333.33,Budget,Small,1805.5555,234399.12315789473
2325,140,3,True,True,True,Farmanieh,310000.0,Affordable,VeryLarge,2214.285714285714,697242.6898245614
390,49,1,True,True,True,West Ferdows Boulevard,73333.33,Budget,Small,1496.5985714285714,103524.82772413793
1388,105,2,True,True,True,Gisha,245000.0,Budget,Large,2333.3333333333335,183903.70222222223
3051,98,2,False,True,False,Parand,25000.0,Budget,Large,255.10204081632654,17453.01874015748
2957,60,2,True,True,False,Karoon,48333.33,Budget,Small,805.5555,39991.667499999996
3177,320,5,False,False,False,Sattarkhan,933333.33,Standard,Huge,2916.66665625,188166.66583333336
360,76,2,True,True,False,Shahr-e-Ziba,85666.67,Budget,Medium,1127.1930263157894,103462.99724770641
2097,90,2,True,True,True,Shahr-e-Ziba,100000.0,Budget,Medium,1111.111111111111,103462.99724770641
609,140,2,True,True,True,Shahrake Gharb,420000.0,Affordable,VeryLarge,3000.0,398996.04508474574
600,210,4,True,True,True,Saadat Abad,516666.67,Affordable,Huge,2460.317476190476,316291.9895348837
1738,90,2,True,True,True,Islamshahr,36600.0,Budget,Medium,406.6666666666667,41914.10230769231
2595,50,1,False,False,False,Karoon,33333.33,Budget,Small,666.6666,39991.667499999996
381,128,2,True,True,True,Niavaran,426666.67,Affordable,VeryLarge,3333.333359375,663106.8627941177
744,115,3,True,True,True,Farmanieh,270000.0,Budget,Large,2347.8260869565215,697242.6898245614
2751,130,3,True,True,True,Seyed Khandan,281666.67,Budget,VeryLarge,2166.6666923076923,212111.1133333333
2315,73,1,False,True,True,Komeil,48666.67,Budget,Medium,666.6667123287671,38357.575454545455
1281,96,2,True,True,True,Ekbatan,140000.0,Budget,Large,1458.3333333333333,115238.0942857143
1683,97,2,True,True,True,Southern Janatabad,116666.67,Budget,Large,1202.7491752577318,105948.38731182796
1847,290,4,True,True,True,Aqdasieh,900000.0,Economy,Huge,3103.448275862069,585999.9996
3038,62,1,True,True,False,Narmak,70000.0,Budget,Medium,1129.032258064516,131330.6668
2015,85,2,True,True,True,Gheitarieh,266666.67,Budget,Medium,3137.2549411764703,357490.47642857145
1853,105,2,True,True,True,Pardis,23333.33,Budget,Large,222.2221904761905,25927.39732876712
1945,136,3,True,True,True,Persian Gulf Martyrs Lake,45333.33,Budget,VeryLarge,333.3333088235294,102752.65125000001
2048,110,2,True,True,True,Gheitarieh,273333.33,Budget,Large,2484.848454545455,357490.47642857145
148,123,3,True,True,True,Shahr-e-Ziba,123333.33,Budget,VeryLarge,1002.71,103462.99724770641
2979,145,3,True,True,True,Shahrake Qods,58000.0,Budget,VeryLarge,400.0,30030.72463768116
2963,60,1,True,True,False,Northern Janatabad,76000.0,Budget,Small,1266.6666666666667,109611.11090909092
3247,205,3,True,True,True,Farmanieh,666666.67,Economy,Huge,3252.032536585366,697242.6898245614
771,100,2,True,True,True,Qasr-od-Dasht,108333.33,Budget,Large,1083.3333,50485.71392857143
396,167,3,True,True,True,Punak,356266.67,Affordable,VeryLarge,2133.333353293413,124276.81161490682
2810,79,2,True,True,True,Tenant,97666.67,Budget,Medium,1236.2869620253164,62402.89956521739
2486,90,2,True,True,True,Hor Square,69038.33,Budget,Medium,767.0925555555556,52474.165
415,75,2,True,True,False,Shahr-e-Ziba,63000.0,Budget,Medium,840.0,103462.99724770641
2364,55,1,False,True,False,Pirouzi,53333.33,Budget,Small,969.6969090909091,72499.99968253968
1932,79,2,True,True,True,Shahran,98333.33,Budget,Medium,1244.7256962025317,99525.1286923077
1484,106,2,True,True,True,Abazar,150000.0,Budget,Large,1415.0943396226414,286471.0139130435
2446,50,1,True,True,True,Mirdamad,108333.33,Budget,Small,2166.6666,346266.6653333333
1385,160,2,True,True,True,Yousef Abad,286666.67,Budget,VeryLarge,1791.6666874999999,234399.12315789473
2694,61,1,False,True,False,Shahr-e-Ziba,49666.67,Budget,Medium,814.2077049180327,103462.99724770641
901,100,2,True,True,True,Ostad Moein,120000.0,Budget,Large,1200.0,64229.26865853659
903,115,2,True,True,True,East Ferdows Boulevard,140000.0,Budget,Large,1217.391304347826,128490.54027027027
467,61,1,True,True,True,Shahran,61666.67,Budget,Medium,1010.9290163934426,99525.1286923077
2422,70,2,False,False,False,Tehran Now,56666.67,Budget,Medium,809.5238571428571,70000.0
2413,66,2,True,True,False,Narmak,73333.33,Budget,Medium,1111.1110606060606,131330.6668
2815,55,1,True,True,True,Andisheh,15000.0,Budget,Small,272.72727272727275,62586.42602409639
292,135,3,True,True,True,Pasdaran,270000.0,Budget,VeryLarge,2000.0,309631.8181818182
1030,165,3,True,True,True,Shahrake Gharb,413333.33,Affordable,VeryLarge,2505.0504848484848,398996.04508474574
1887,78,2,True,True,True,Southern Janatabad,116666.67,Budget,Medium,1495.7265384615384,105948.38731182796
3162,48,1,False,False,False,Hashemi,31666.67,Budget,Small,659.7222916666666,42866.666923076926
1496,113,2,True,True,True,Amirabad,169333.33,Budget,Large,1498.5250442477875,137261.90357142856
1301,89,2,True,True,True,Shahran,106333.33,Budget,Medium,1194.7565168539327,99525.1286923077
2838,80,2,True,True,True,Gheitarieh,200000.0,Budget,Medium,2500.0,357490.47642857145
656,116,2,True,True,True,Dehkade Olampic,145000.0,Budget,Large,1250.0,144166.66777777777
2837,44,1,True,True,False,Jeyhoon,34666.67,Budget,Small,787.8788636363636,58270.00021978022
993,107,2,True,True,True,Persian Gulf Martyrs Lake,116666.67,Budget,Large,1090.342710280374,102752.65125000001
2536,58,5,False,False,True,Parand,9833.33,Budget,Small,169.5401724137931,17453.01874015748
2989,85,2,True,True,True,Shahr-e-Ziba,99166.67,Budget,Medium,1166.666705882353,103462.99724770641
1120,145,3,True,True,True,Heravi,300000.0,Budget,VeryLarge,2068.9655172413795,268728.98521739134
1131,130,3,True,True,True,Jeyhoon,93333.33,Budget,VeryLarge,717.9486923076923,58270.00021978022
3337,150,3,True,True,True,Niavaran,366666.67,Affordable,VeryLarge,2444.4444666666664,663106.8627941177
772,175,3,True,True,True,Shahrake Gharb,310000.0,Affordable,VeryLarge,1771.4285714285713,398996.04508474574
1470,87,2,True,True,True,Abazar,186666.67,Budget,Medium,2145.593908045977,286471.0139130435
202,150,3,True,True,True,Zaferanieh,349666.67,Affordable,VeryLarge,2331.1111333333333,785838.2714814814
3245,48,1,False,False,False,Beryanak,24666.67,Budget,Small,513.8889583333333,38150.6668
3305,62,1,False,False,True,Parand,11666.67,Budget,Medium,188.17209677419356,17453.01874015748
1827,52,1,True,True,True,Southern Program Organization,91666.67,Budget,Small,1762.820576923077,93652.17434782608
3439,60,1,True,True,True,West Ferdows Boulevard,65000.0,Budget,Small,1083.3333333333333,103524.82772413793
1556,134,3,True,True,True,Andisheh,36666.67,Budget,VeryLarge,273.6318656716418,62586.42602409639
2822,100,2,True,True,True,Persian Gulf Martyrs Lake,35333.33,Budget,Large,353.3333,102752.65125000001
1583,101,2,True,True,True,Yousef Abad,183333.33,Budget,Large,1815.1814851485146,234399.12315789473
1141,85,2,True,True,True,Shahran,79333.33,Budget,Medium,933.333294117647,99525.1286923077
1567,87,2,True,True,True,Pardis,32000.0,Budget,Medium,367.81609195402297,25927.39732876712
489,54,1,True,True,True,Jeyhoon,50000.0,Budget,Small,925.925925925926,58270.00021978022
2153,51,1,False,True,False,Ostad Moein,30000.0,Budget,Small,588.2352941176471,64229.26865853659
1935,195,3,True,True,True,Farmanieh,576000.0,Affordable,VeryLarge,2953.846153846154,697242.6898245614
1226,54,1,False,True,True,Punak,66666.67,Budget,Small,1234.5679629629628,124276.81161490682
1615,54,1,False,True,False,Beryanak,27666.67,Budget,Small,512.3457407407407,38150.6668
2860,130,3,True,True,True,Persian Gulf Martyrs Lake,138333.33,Budget,VeryLarge,1064.1025384615384,102752.65125000001
854,60,1,True,True,True,Feiz Garden,81666.67,Budget,Small,1361.1111666666666,101877.19315789473
3417,114,2,True,True,True,Persian Gulf Martyrs Lake,133333.33,Budget,Large,1169.5906140350876,102752.65125000001
3265,60,1,False,False,False,Parand,10000.0,Budget,Small,166.66666666666666,17453.01874015748
1354,290,4,True,True,True,Farmanieh,1200000.0,Standard,Huge,4137.931034482759,697242.6898245614
815,110,2,True,True,True,Qalandari,270000.0,Budget,Large,2454.5454545454545,257606.0609090909
1450,53,1,True,True,False,East Ferdows Boulevard,64000.0,Budget,Small,1207.5471698113208,128490.54027027027
1227,87,2,True,True,True,Pardis,16666.67,Budget,Medium,191.57091954022985,25927.39732876712
3373,54,1,True,True,True,West Ferdows Boulevard,750000.0,Economy,Small,13888.888888888889,103524.82772413793
1483,350,5,True,True,True,Gheitarieh,1166666.67,Standard,Huge,3333.3333428571427,357490.47642857145
818,60,1,True,True,True,Saadat Abad,120000.0,Budget,Small,2000.0,316291.9895348837
1682,97,2,True,True,True,Sattarkhan,119333.33,Budget,Large,1230.2405154639175,188166.66583333336
11,64,1,True,True,True,Narmak,70000.0,Budget,Medium,1093.75,131330.6668
1911,133,3,True,True,True,Gheitarieh,443333.33,Affordable,VeryLarge,3333.3333082706768,357490.47642857145
101,130,2,True,True,True,Dorous,563333.33,Affordable,VeryLarge,4333.333307692307,624487.1799999999
914,60,2,True,True,False,Central Janatabad,70000.0,Budget,Small,1166.6666666666667,116287.03677777779
539,68,1,True,True,True,West Ferdows Boulevard,119000.0,Budget,Medium,1750.0,103524.82772413793
28,110,2,True,True,True,Southern Janatabad,21000.0,Budget,Large,190.9090909090909,105948.38731182796
1425,37,1,False,True,False,Andisheh,11833.33,Budget,Tiny,319.8197297297297,62586.42602409639
2350,198,3,True,True,True,Ekhtiarieh,600000.0,Affordable,VeryLarge,3030.3030303030305,337801.5880952381
2248,77,2,False,True,True,Pakdasht,15333.33,Budget,Medium,199.13415584415586,27426.6656
3111,88,2,True,True,True,Saadat Abad,173333.33,Budget,Medium,1969.6969318181816,316291.9895348837
2099,135,2,True,True,False,SabaShahr,73333.33,Budget,VeryLarge,543.2098518518519,73333.33
2878,83,2,True,True,True,West Ferdows Boulevard,88000.0,Budget,Medium,1060.2409638554218,103524.82772413793
2358,225,3,True,True,True,Farmanieh,1283333.33,MidRange,Huge,5703.703688888889,697242.6898245614
604,130,3,True,True,True,Pasdaran,370000.0,Affordable,VeryLarge,2846.153846153846,309631.8181818182
2520,72,2,True,True,True,Razi,13700.0,Budget,Medium,190.27777777777777,44633.33428571428
1260,245,5,True,True,True,Dezashib,483333.33,Affordable,Huge,1972.7891020408165,395333.33222222223
69,90,1,False,True,False,Pakdasht KhatunAbad,28333.33,Budget,Medium,314.8147777777778,28333.33
1668,102,2,True,True,True,Shahrake Gharb,329933.33,Affordable,Large,3234.6404901960786,398996.04508474574
574,65,2,True,True,True,Punak,78333.33,Budget,Medium,1205.128153846154,124276.81161490682
1499,108,2,True,True,True,Shahran,143333.33,Budget,Large,1327.1604629629628,99525.1286923077
1900,90,2,True,True,True,Northern Janatabad,129333.33,Budget,Medium,1437.037,109611.11090909092
2959,60,1,False,True,False,Azarbaijan,24666.67,Budget,Small,411.11116666666663,78347.2225
1446,120,3,True,True,True,Pardis,21666.67,Budget,Large,180.55558333333332,25927.39732876712
3161,90,2,True,True,True,Northern Chitgar,43833.33,Budget,Medium,487.03700000000003,34489.584375
2439,125,2,True,True,True,Dezashib,375000.0,Affordable,VeryLarge,3000.0,395333.33222222223
318,60,1,True,True,True,Southern Janatabad,75000.0,Budget,Small,1250.0,105948.38731182796
1534,130,3,True,True,True,Northern Suhrawardi,260000.0,Budget,VeryLarge,2000.0,189166.6675
2273,120,2,True,True,True,Velenjak,300000.0,Budget,Large,2500.0,712712.1213636363
2467,130,3,False,True,False,Shahrake Qods,20000.0,Budget,VeryLarge,153.84615384615384,30030.72463768116
90,148,3,True,True,True,Daryan No,199666.67,Budget,VeryLarge,1349.0991216216216,203222.22333333336
2268,51,1,True,False,True,Ray - Montazeri,41666.67,Budget,Small,816.9935294117647,41666.67
2518,88,1,False,False,True,Parand,12666.67,Budget,Medium,143.93943181818182,17453.01874015748
240,93,2,True,True,True,Rudhen,48333.33,Budget,Large,519.7132258064516,67527.27272727272
268,95,2,True,True,True,Southern Janatabad,146666.67,Budget,Large,1543.8596842105264,105948.38731182796
2450,78,2,True,True,False,Punak,103333.33,Budget,Medium,1324.7862820512821,124276.81161490682
1983,125,2,True,True,True,Gheitarieh,386666.67,Affordable,VeryLarge,3093.33336,357490.47642857145
3300,68,1,True,False,True,Ahang,46666.67,Budget,Medium,686.2745588235293,36666.67
1174,170,3,True,True,True,Niavaran,566666.67,Affordable,VeryLarge,3333.3333529411766,663106.8627941177
1532,90,2,True,True,True,Shahr-e-Ziba,105000.0,Budget,Medium,1166.6666666666667,103462.99724770641
2956,59,1,True,True,True,Qasr-od-Dasht,38333.33,Budget,Small,649.7174576271186,50485.71392857143
2064,86,2,True,True,True,Pardis,29666.67,Budget,Medium,344.96127906976744,25927.39732876712
3380,84,2,True,True,True,Islamshahr,28500.0,Budget,Medium,339.2857142857143,41914.10230769231
1169,88,2,True,True,True,Central Janatabad,113333.33,Budget,Medium,1287.87875,116287.03677777779
1353,140,3,True,True,True,Andisheh,49466.67,Budget,VeryLarge,353.33335714285715,62586.42602409639
3175,62,2,True,True,True,Punak,73333.33,Budget,Medium,1182.7956451612904,124276.81161490682
2156,84,2,True,True,False,Andisheh,25766.67,Budget,Medium,306.7460714285714,62586.42602409639
2683,94,2,False,True,False,Northren Jamalzadeh,80000.0,Budget,Large,851.063829787234,116880.95214285715
60,67,2,True,True,True,Punak,93333.33,Budget,Medium,1393.034776119403,124276.81161490682
1620,57,1,True,True,True,Qasr-od-Dasht,40000.0,Budget,Small,701.7543859649123,50485.71392857143
2575,105,2,True,True,True,Feiz Garden,151666.67,Budget,Large,1444.4444761904763,101877.19315789473
95,110,2,True,True,True,West Pars,133333.33,Budget,Large,1212.1211818181816,145878.78636363635
1423,200,3,True,True,True,Aqdasieh,1160000.0,Standard,VeryLarge,5800.0,585999.9996
315,135,2,True,True,True,Zaferanieh,583333.33,Affordable,VeryLarge,4320.98762962963,785838.2714814814
2242,75,2,True,True,True,Pirouzi,58333.33,Budget,Medium,777.7777333333333,72499.99968253968
52,75,2,False,False,False,Parand,21166.67,Budget,Medium,282.22226666666666,17453.01874015748
3143,94,2,False,True,False,Fatemi,103333.33,Budget,Large,1099.290744680851,135555.55333333332
2545,85,2,True,True,True,Central Janatabad,110000.0,Budget,Medium,1294.1176470588234,116287.03677777779
867,75,2,False,True,True,Parand,12966.67,Budget,Medium,172.88893333333334,17453.01874015748
2830,111,3,True,True,True,Persian Gulf Martyrs Lake,105000.0,Budget,Large,945.9459459459459,102752.65125000001
1031,150,3,True,True,True,Niavaran,500000.0,Affordable,VeryLarge,3333.3333333333335,663106.8627941177
2505,160,3,True,True,True,Azarbaijan,100000.0,Budget,VeryLarge,625.0,78347.2225
2973,70,2,True,True,False,Punak,72333.33,Budget,Medium,1033.3332857142857,124276.81161490682
3413,140,3,True,True,True,Daryan No,210000.0,Budget,VeryLarge,1500.0,203222.22333333336
2832,75,2,False,False,True,Parand,11666.67,Budget,Medium,155.5556,17453.01874015748
1233,98,2,True,True,True,Gheitarieh,231933.33,Budget,Large,2366.6666326530612,357490.47642857145
3213,57,1,True,False,True,Karoon,56666.67,Budget,Small,994.1521052631579,39991.667499999996
2754,63,1,True,True,True,Ostad Moein,46000.0,Budget,Medium,730.1587301587301,64229.26865853659
699,106,2,True,True,False,Islamshahr,41500.0,Budget,Large,391.50943396226415,41914.10230769231
1307,192,3,True,True,True,Kamranieh,1116333.33,Standard,VeryLarge,5814.236093750001,610047.6185714286
630,128,3,True,True,True,Gheitarieh,310000.0,Affordable,VeryLarge,2421.875,357490.47642857145
2020,56,2,True,True,True,Ostad Moein,50000.0,Budget,Small,892.8571428571429,64229.26865853659
3349,112,2,True,True,True,Mahmoudieh,280000.0,Budget,Large,2500.0,1115555.5566666666
3103,71,2,False,True,True,Shahrake Qods,17500.0,Budget,Medium,246.4788732394366,30030.72463768116
1314,97,2,True,True,True,Pardis,25666.67,Budget,Large,264.6048453608247,25927.39732876712
